"","BidID","AuctionID","BidderID","Bid"
"1",2,1,2,12.38
"2",3,1,3,11.63
"3",4,1,5,8.84
"4",5,1,6,8.37
"5",6,1,7,7.99
"6",7,2,5,9.8
"7",8,2,6,7.14
"8",9,2,7,12.34
"9",10,3,2,12.84
"10",11,3,4,10.88
"11",12,3,6,13.03
"12",13,4,1,12.27
"13",14,4,2,12.76
"14",15,4,3,7.39
"15",16,4,4,15.67
"16",17,4,7,12.25
"17",18,5,1,19.21
"18",19,5,2,9.93
"19",20,5,3,7.69
"20",21,5,5,14.28
"21",22,6,5,10.18
"22",23,6,6,10.74
"23",24,7,3,15.62
"24",25,7,4,7.93
"25",26,8,1,12.59
"26",27,8,2,9.88
"27",28,8,5,7.35
"28",29,8,6,12.06
"29",30,8,7,8.96
"30",31,9,1,14.16
"31",32,9,2,13.09
"32",33,9,6,8.05
"33",34,9,7,9.1
"34",35,10,1,10.86
"35",36,10,2,8.81
"36",37,10,4,14.59
