saleID,cab
126,1
127,1
128,1
129,1
130,1
131,1
133,1
134,1
135,1
136,1
139,1
142,1
143,1
144,1
145,1
146,1
148,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
160,1
164,1
167,1
170,1
187,1
190,1
191,1
192,1
193,1
194,1
195,1
200,1
201,1
202,1
205,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
221,1
222,1
223,1
224,1
226,1
227,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
255,1
259,1
260,1
262,1
263,1
266,1
267,1
281,1
288,1
289,1
290,1
291,1
292,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
332,1
333,1
334,1
335,1
337,1
338,1
339,1
340,1
341,1
345,1
346,1
347,1
349,1
355,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
369,1
371,1
372,1
373,1
